Document Title,Coding,Categories,Authors,,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
ICCF: An Information-Centric Collaborative Fog Platform for Building Energy Management Systems,"Heterogeneity, hierarchy, geo-distribution","9, 8, 3, ",Z. Shen; T. Zhang; J. Jin; K. Yokota; A. Tagami; T. Higashino,,IEEE Access,3 Apr 2019,2019,7,,40402,40415,"In order to construct future large-scale Internet of Things (IoT) networks, Fog computing is a promising paradigm that brings big data processing capability, storage, and control from a remote cloud closer to the end users/things. However, the majority of prior studies have focused on the data connection to realize a vertical Cloud-Fog-devices' continuum. In this paper, we propose an information-centric collaborative Fog (ICCF) platform, empowered by a novel horizontal Fog-to-Fog layer. Specifically, the ICCF enhances sensor data processing performance by enabling horizontal data transfer in the Fog layer through connectionless name-based Fog-to-Fog data transmission. It utilizes the Fog node's distributed data processing power to achieve a satisfactory data processing performance, while communication with the Cloud is only required to report detected anomalies. Moreover, because the connectionless name-based scheme significantly reduces data connection overhead, this guarantees real-time communication and the ability of processing large-scale IoT data. Building energy management system (BEMS) for detecting abnormal sensor data is adopted as a case study to illustrate our design philosophy and, more importantly, to validate the advantages of the proposed ICCF by conducting a variety of experiments based on the sensor data collected from a real-world indoor environment.",2169-3536,,10.1109/ACCESS.2019.2906645,"“Research and Development of Innovative Network Technologies to Create the Future(grant numbers:19103); Commissioned Research of National Institute of Information and Communications Technology (NICT), Japan; Australian Government Research Training Program Scholarship; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672574,Building energy management system;fog computing;information-centric networking;Internet of Things;machine learning;sensor data processing,Edge computing;Cloud computing;Buildings;Data processing;Energy management;Collaboration;Data communication,Big Data;building management systems;cloud computing;energy management systems;Internet of Things;wireless sensor networks,remote cloud;ICCF;sensor data processing performance;horizontal data transfer;connectionless name-based scheme;large-scale IoT data;abnormal sensor data;building energy management systems;data connection;information-centric collaborative fog platform;Internet of Things networks;fog computing;big data processing;vertical cloud-fog-devices continuum;horizontal fog-to-fog layer;connectionless name-based fog-to-fog data transmission;fog node distributed data processing power;anomalies detection,,9,,34,OAPA,21 Mar 2019,,,IEEE,IEEE Journals,,
Automating Edge-to-cloud Workflows for Science: Traversing the Edge-to-cloud Continuum with Pegasus,"Heterogeneity, geographical diversity, reduced response times, handling data privacy constraints, masking network outages","8, 3, 12, 15, 24,",R. Tanaka; G. Papadimitriou; S. C. Viswanath; C. Wang; E. Lyons; K. Thareja; C. Qu; A. Esquivel; E. Deelman; A. Mandal; P. Calyam; M. Zink,,"2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",19 Jul 2022,2022,,,826,833,"In this paper, we describe how we extended the Pegasus Workflow Management System to support edge-to-cloud workflows in an automated fashion. We discuss how Pegasus and HTCondor (its job scheduler) work together to enable this automation. We use HTCondor to form heterogeneous pools of compute resources and Pegasus to plan the workflow onto these resources and manage containers and data movement for executing workflows in hybrid edge-cloud environments. We then show how Pegasus can be used to evaluate the execution of workflows running on edge only, cloud only, and edge-cloud hybrid environments. Using the Chameleon Cloud testbed to set up and configure an edge-cloud environment, we use Pegasus to benchmark the executions of one synthetic workflow and two production workflows: CASA-Wind and the Ocean Observatories Initiative Orcasound workflow, all of which derive their data from edge devices. We present the performance impact on workflow runs of job and data placement strategies employed by Pegasus when configured to run in the above three execution environments. Results show that the synthetic workflow performs best in an edge only environment, while the CASA - Wind and Orcasound workflows see significant improvements in overall makespan when run in a cloud only environment. The results demonstrate that Pegasus can be used to automate edge-to-cloud science workflows and the workflow provenance data collection capabilities of the Pegasus monitoring daemon enable computer scientists to conduct edge-to-cloud research.",,978-1-6654-9956-9,10.1109/CCGrid54584.2022.00098,"NSF(grant numbers:2018074,1664162); University of Wisconsin-Madison; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825937,Pegasus;edge computing;workflows;workflow management systems;clouds;distributed systems,Performance evaluation;Cloud computing;Observatories;Oceans;Production;Data collection;Containers,cloud computing;data analysis;natural sciences computing;scheduling;workflow management software,edge-to-cloud workflows;edge-to-cloud continuum;Pegasus workflow management system;edge-cloud hybrid environments;Chameleon cloud;production workflows;execution environments;synthetic workflow performs;edge-to-cloud science workflows;workflow provenance data collection capabilities;Pegasus monitoring daemon;edge-to-cloud research;ocean observatories initiative orcasound workflow,,,,31,IEEE,19 Jul 2022,,,IEEE,IEEE Conferences,,
Offloading Execution from Edge to Cloud: A Dynamic Node-RED Based Approach,"Offloading, resource awareness, deployment management issues","14, 17, 5, ",R. Sosa; C. Kiraly; J. D. Parra Rodriguez,,2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),27 Dec 2018,2018,,,149,152,"Fog computing enables use cases where data produced in end devices are stored, processed, and acted on directly at the edges of the network, yet computation can be offloaded to more powerful instances through the edge to cloud continuum. Such offloading mechanism is especially needed in case of modern multi-purpose IoT gateways, where both demand and operation conditions can vary largely between deployments. To facilitate the development and operations of gateways, we implement offloading directly as part of the IoT rapid prototyping process embedded in the software stack, based on Node-RED. We evaluate the implemented method using an image processing example, and compare various offloading strategies based on resource consumption and other system metrics, highlighting the differences in handling demand and service levels reached.",2330-2186,978-1-5386-7899-2,10.1109/CloudCom2018.2018.00039,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591008,"Fog computing, dynamic offloading, Internet of Things, IoT gateways",Logic gates;Cloud computing;Software;Task analysis;Rapid prototyping;Measurement;Internet of Things,cloud computing;Internet of Things;internetworking;mobile computing,image processing;offloading strategies;implemented method;software stack;IoT rapid prototyping process;operation conditions;modern multipurpose IoT gateways;offloading mechanism;cloud continuum;end devices;fog computing;dynamic Node-RED,,3,,10,,27 Dec 2018,,,IEEE,IEEE Conferences,,
Learning and Management for Internet of Things: Accounting for Adaptivity and Scalability,"Intelligent infrastructure, extreme heterogeneity, unpredictability, human interaction, latency constraints","6, 8, 18, 25, 12,",T. Chen; S. Barbarossa; X. Wang; G. B. Giannakis; Z. -L. Zhang,,Proceedings of the IEEE,26 Mar 2019,2019,107,4,778,796,"Internet of Things (IoT) envisions an intelligent infrastructure of networked smart devices offering task-specific monitoring and control services. The unique features of IoT include extreme heterogeneity, massive number of devices, and unpredictable dynamics partially due to human interaction. These call for foundational innovations in network design and management. Ideally, it should allow efficient adaptation to changing environments, and low-cost implementation scalable to a massive number of devices, subject to stringent latency constraints. To this end, the overarching goal of this paper is to outline a unified framework for online learning and management policies in IoT through joint advances in communication, networking, learning, and optimization. From the network architecture vantage point, the unified framework leverages a promising fog architecture that enables smart devices to have proximity access to cloud functionalities at the network edge, along the cloud-to-things continuum. From the algorithmic perspective, key innovations target online approaches adaptive to different degrees of nonstationarity in IoT dynamics, and their scalable model-free implementation under limited feedback that motivates blind or bandit approaches. The proposed framework aspires to offer a stepping stone that leads to systematic designs and analysis of task-specific learning and management schemes for IoT, along with a host of new research directions to build on.",1558-2256,,10.1109/JPROC.2019.2896243,"National Science Foundation(grant numbers:1509040,1508993,1711471); H2020 Europe-Japan Project 5G-MiEdge(grant numbers:723171); National Natural Science Foundation of China(grant numbers:61671154); National Key Research and Development Program of China(grant numbers:2017YFB0403402); Science and Technology Commission of Shanghai Municipality(grant numbers:17510710400); U.S. Department of Defense(grant numbers:HDTRA1-14-1-0040); National Science Foundation(grant numbers:1411636,1617729); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8648462,Internet of Things (IoT);mobile edge computing (MEC);network resource allocation;online learning;stochastic optimization,Internet of Things;Scalability;Vehicle dynamics;Task analysis;Communication networks;Resource management;Stochastic processes;Online services,computer network management;Internet of Things;learning (artificial intelligence),intelligent infrastructure;networked smart devices;task-specific monitoring;extreme heterogeneity;unpredictable dynamics;human interaction;foundational innovations;network design;stringent latency constraints;overarching goal;online learning;network architecture vantage point;promising fog architecture;network edge;cloud-to-things continuum;key innovations;online approaches;IoT dynamics;scalable model-free implementation;task-specific learning;Internet of Things,,47,,111,IEEE,21 Feb 2019,,,IEEE,IEEE Journals,,
A Review of Application Layer Communication Protocols for the IoT Edge Cloud Continuum,"Layered structure, edge intelligence, cross-level communication and application deployment","9, 6, 2, ",J. Kampars; D. Tropins; R. Matisons,,2021 62nd International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),23 Nov 2021,2021,,,1,6,"The IoT technological paradigm has become widespread and has found its place within industries such as smart cities, smart grids, smart homes, physical security, e-health, asset management, and logistics. Around 50 billion various devices will soon be connected to the Internet. A hot topic within the IoT field is edge computing, which adds extra computing capacity to the edge allowing to perform computationally intensive operations like execution of Deep Neural Networks possibly requiring specialized devices equipped with Graphical Processing Units. Optimal construction of solutions that span the IoT, edge, and cloud computing layers is still an open research area, and it is believed that edge computing is in its infancy. This article reviews application layer protocols that can be used to interconnect entities belonging to the three previously mentioned layers.",,978-1-6654-0615-4,10.1109/ITMS52826.2021.9615332,European Regional Development Fund;,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9615332,AMQP;CoAP;DDS;edge computing;gRPC;IoT;MQTT;XMPP,Performance evaluation;Cloud computing;Protocols;Smart cities;Smart homes;Smart grids;Security,cloud computing;Internet of Things;protocols,edge computing;computationally intensive operations;deep neural networks;graphical processing units;cloud computing;application layer communication protocols;IoT edge cloud continuum;Internet,,,,35,IEEE,23 Nov 2021,,,IEEE,IEEE Conferences,,
Cloud — Edge Offloading Model for Vehicular Traffic Analysis,"Resource management challenges, task offloading, response time awareness, energy efficiency, edge intelligence","17, 14, 12, 7, 6,",D. Kimovski; D. C. Bogatinoska; N. Mehran; A. Karadimce; N. Paunkoska; R. Prodan; N. Marina,,"2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",4 Jun 2021,2020,,,746,753,"The proliferation of smart sensing and computing devices, capable of collecting a vast amount of data, has made the gathering of the necessary vehicular traffic data relatively easy. However, the analysis of these big data sets requires computational resources, which are currently provided by the Cloud Data Centers. Nevertheless, the Cloud Data Centers can have unacceptably high latency for vehicular analysis applications with strict time requirements. The recent introduction of the Edge computing paradigm, as an extension of the Cloud services, has partially moved the processing of big data closer to the data sources, thus addressing this issue. Unfortunately, this unlocked multiple challenges related to resources management. Therefore, we present a model for scheduling of vehicular traffic analysis applications with partial task offloading across the Cloud - Edge continuum. The approach represents the traffic applications as a set of interconnected tasks composed into a workflow that can be partially offloaded to the Edge. We evaluated the approach through a simulated Cloud - Edge environment that considers two representative vehicular traffic applications with a focus on video stream analysis. Our results show that the presented approach reduces the application response time up to eight times while improving energy efficiency by a factor of four.",,978-1-6654-1485-2,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00119,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443969,Edge offloading;Cloud - Edge continuum;Application Scheduling;Particle Swarm Optimization,Analytical models;Data centers;Processor scheduling;Image edge detection;Computational modeling;Streaming media;Energy efficiency,Big Data;cloud computing;computer centres;scheduling;video streaming,Cloud - Edge offloading model;smart sensing;computing devices;necessary vehicular traffic data;big data sets;computational resources;Cloud Data Centers;vehicular analysis applications;strict time requirements;Edge computing paradigm;Cloud services;data sources;vehicular traffic analysis applications;partial task offloading;Cloud - Edge continuum;simulated Cloud - Edge environment;representative vehicular traffic applications;video stream analysis;application response time,,,,21,,4 Jun 2021,,,IEEE,IEEE Conferences,,
MQTT-based Middleware for Container Support in Fog Computing Environments,"Offloading, migration support, dynamicity","14, 13, 5, ",P. Bellavista; L. Foschini; N. Ghiselli; A. Reale,,2019 IEEE Symposium on Computers and Communications (ISCC),27 Jan 2020,2019,,,1,7,"Distributed architectures where the Internet of Things (IoT) and the cloud are efficiently integrated play an increasingly important role for IoT solutions. Among these architectures, there is a growing interest in the ones that support the opportunity of functionality offloading towards either intermediate fog nodes or IoT end devices. Relevant existing research work has mainly focused so far on virtual machine and container migration to intermediate fog nodes and on migration of very simple functions to IoT endpoints (to preserve their limited resources available). In this paper, we originally concentrate on the gap associated with benefitting from fog functionality at resource-powerful IoT endpoints, to create a continuum deployment that glues IoT devices and the cloud. In particular, this paper originally presents a middleware that manages application deployment and life-cycle by simplifying and optimizing management operations such as device configuration and application constraint satisfaction. The proposed solution particularly fits highly articulated scenarios with large numbers of IoT devices and intermediate fog nodes, by supporting the opportunity to offload functionality in a split way between IoT endpoints and edge nodes. The reported experimental results confirm the feasibility of our approach in term of overhead, scalability, and application life-cycle management.",2642-7389,978-1-7281-2999-0,10.1109/ISCC47284.2019.8969615,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8969615,IoT;Fog Computing;Multi-access Edge Computing;Middleware;IBM Watson IoT™;MQTT,Internet of Things;Computer architecture;Middleware;Cloud computing;Performance evaluation;Containers;Standards,Internet of Things;middleware;virtual machines,MQTT-based middleware;container support;fog computing environments;distributed architectures;IoT solutions;functionality offloading;intermediate fog nodes;IoT end devices;research work;virtual machine;container migration;simple functions;fog functionality;resource-powerful IoT endpoints;IoT devices;device configuration;application constraint satisfaction;application life-cycle management,,3,,15,,27 Jan 2020,,,IEEE,IEEE Conferences,,
Analytics Everywhere for Streaming IoT Data,"Data heterogeneuity, geographical distribution, high throughput","8, 3, 11,",H. Cao; M. Wachowicz,,"2019 Sixth International Conference on Internet of Things: Systems, Management and Security (IOTSMS)",23 Dec 2019,2019,,,18,25,"Exploring new insights from IoT data means not only providing higher-level intelligence in a timely way but also generating long-term predictions and decisions from historical IoT data. This paper aims to explore the synergy of various data rates, message passing, and processing algorithms to support streaming analytics at the edge, fog, and cloud computing environments. Towards this end, we present an IoT architecture that is capable of capturing, managing, processing, analyzing, and visualizing IoT data streams. For validation purposes, a smart parking scenario is used to evaluate our architecture.",,978-1-7281-2949-5,10.1109/IOTSMS48152.2019.8939171,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939171,IoT data streams;streaming analytics;smart parking;IoT architecture;integrated fabric;edge/fog/cloud continuum,,cloud computing;data analysis;data visualisation;Internet of Things;message passing,higher-level intelligence;IoT data streaming;data rates;streaming analytics;IoT architecture;message passing;edge computing environments;fog computing environments;cloud computing environments;IoT data streams visualization;smart parking scenario,,2,,24,,23 Dec 2019,,,IEEE,IEEE Conferences,,
"E2Clab: Exploring the Computing Continuum through Repeatable, Replicable and Reproducible Edge-to-Cloud Experiments","Complex physical infrastructure, multi-tier architecture, AI usage","4, 9, 6,",D. Rosendo; P. Silva; M. Simonin; A. Costan; G. Antoniu,,2020 IEEE International Conference on Cluster Computing (CLUSTER),2 Nov 2020,2020,,,176,186,"Distributed digital infrastructures for computation and analytics are now evolving towards an interconnected ecosystem allowing complex applications to be executed from IoT Edge devices to the HPC Cloud (aka the Computing Continuum, the Digital Continuum, or the Transcontinuum). Understanding end-to-end performance in such a complex continuum is challenging. This breaks down to reconciling many, typically contradicting application requirements and constraints with low-level infrastructure design choices. One important challenge is to accurately reproduce relevant behaviors of a given application workflow and representative settings of the physical infrastructure underlying this complex continuum. In this paper we introduce a rigorous methodology for such a process and validate it through E2Clab. It is the first platform to support the complete analysis cycle of an application on the Computing Continuum: (i) the configuration of the experimental environment, libraries and frameworks; (ii) the mapping between the application parts and machines on the Edge, Fog and Cloud; (iii) the deployment of the application on the infrastructure; (iv) the automated execution; and (v) the gathering of experiment metrics. We illustrate its usage with a real-life application deployed on the Grid'5000 testbed, showing that our framework allows one to understand and improve performance, by correlating it to the parameter settings, the resource usage and the specifics of the underlying infrastructure.",2168-9253,978-1-7281-6677-3,10.1109/CLUSTER49012.2020.00028,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9229592,Reproducibility;Methodology;Computing Continuum;Edge Intelligence,Performance evaluation;Conferences;Ecosystems;Cluster computing;Libraries,cloud computing;Internet of Things;parallel processing,resource usage;parameter settings;automated execution;transcontinuum;digital continuum;real-life application;physical infrastructure;application workflow;low-level infrastructure design choices;application requirements;complex continuum;end-to-end performance;Digital Continuum;HPC Cloud;IoT Edge devices;distributed digital infrastructures;edge-to-cloud experiments;computing continuum;E2Clab,,7,,48,,2 Nov 2020,,,IEEE,IEEE Conferences,,
Poster Abstract: C-Continuum: Edge-to-Cloud computing for distributed AI,"Distributed AI, heterogeneity, uncertainty and dynamicity","6, 8, 18, 5,",D. Aguiari; A. Ferlini; J. Cao; S. Guo; G. Pau,,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),23 Sep 2019,2019,,,1053,1054,"Mobile autonomous systems are supposed to deeply impact in manufacturing, space exploration, rescue, defense, transportation, and everyday life. Autonomous air-ground vehicles, for example, will become normal tools in the next few years, providing a natural platform for distributed artificial intelligence applications including, for example, disaster rescue and recovery, area surveying, autonomous driving, etc. The raise of autonomous cooperating robots will pose new challenges in networking, distributed systems and resource management. Heavy computational tasks will be dispatched to the closest edge node for processing and the core-cloud will be involved as last resort in an effort to reduce latency and increase the global system capacity leveraging application and resource locality. Massive amounts of data and computations will be required. For example, in the autonomous driving scenario Intel estimates that each driver-less vehicle will produce over 4 TeraBytes of data each day1. While most of this data is consumed in-car, cooperating autonomous vehicles will have to exchange some percentage of the 4TB and eventually offload some computation and data to the local edge or the core-cloud. This is particularly relevant when locally gathered and labeled data can be used to refine the model and ultimately increase the global “intelligence”. This approach is often taken by autonomous driving automakers.",,978-1-7281-1878-9,10.1109/INFCOMW.2019.8845170,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845170,cloud computing;edge computing;name data networking;v2i;v2v,Task analysis;Autonomous vehicles;Resource management;Computational modeling;Edge computing;Atmospheric modeling,artificial intelligence;automobile manufacture;cloud computing;cooperative systems;mobile robots;multi-robot systems,c-continuum;edge-to-cloud computing;distributed AI;mobile autonomous systems;autonomous air-ground vehicles;distributed artificial intelligence applications;autonomous cooperating robots;distributed systems;resource management;autonomous driving automakers,,2,,4,,23 Sep 2019,,,IEEE,IEEE Conferences,,
Edge-Cloud Intelligence in Self-Diagnostic of Land Mobile Radio Systems,"Data heterogeneuity, edge intelligence, self-diagnosis","8, 6, 16, ",H. Cao; M. Wachowicz; J. Craig,,2021 IEEE 7th World Forum on Internet of Things (WF-IoT),9 Nov 2021,2021,,,645,650,"IIoT sensors are usually deployed on a massive scale with stringent scalability, modularity, and interoperability requirements. It is indisputable that they produce a large amount of high-speed and heterogeneous data streams that pose many challenges to perform management, processing, and analytical tasks. This paper proposes an integrated edge-cloud continuum platform that can harvest IIoT data streams from a variety of sensors deployed at a remote RF site; and can harmonize different machine learning models for diagnosing problems that enhance infrastructure monitoring and long-term structural resilience. A real-world experiment was carried out to evaluate the proposed platform for supporting a self-diagnostic process for intelligent maintenance of Land Mobile Radio (LMR) infrastructures.",,978-1-6654-4431-6,10.1109/WF-IoT51360.2021.9595618,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9595618,cloud computing;edge computing;Land Mobile Radio Systems;Industrial Internet of Things;streaming analytics;intelligent maintenance,Radio frequency;Scalability;Machine learning;Maintenance engineering;Task analysis;Monitoring;Interoperability,cloud computing;data handling;Internet of Things;land mobile radio;learning (artificial intelligence),IIoT sensors;interoperability requirements;heterogeneous data streams;analytical tasks;integrated edge-cloud continuum platform;remote RF site;infrastructure monitoring;long-term structural resilience;self-diagnostic process;intelligent maintenance;edge-cloud intelligence;land mobile radio systems;IIoT data stream harvesting;machine learning models;LMR infrastructure,,,,22,IEEE,9 Nov 2021,,,IEEE,IEEE Conferences,,
Joint Optimization of Energy Consumption and Delay in Cloud-to-Thing Continuum,"Delay requirements, energy consumption requirements","12, 7, 17, ",X. Wei; C. Tang; J. Fan; S. Subramaniam,,IEEE Internet of Things Journal,8 May 2019,2019,6,2,2325,2337,"Unmanned aerial vehicles (UAVs) are considered a promising solution for carrying communications and computational facilities to increase the flexibility of cloud-to-thing continuum, where short-range and long-range wireless links are adopted to connect mobile devices to the fog node and the fog node to the remote data center, respectively. Most existing UAV-involved resource allocation algorithms focus mainly on the radio resource allocation problem, and much less attention has been paid to the allocation of computational resources. Moreover, the dynamic arrival of tasks and the queueing delay at each computation entity is usually neglected. In this paper, a joint optimization problem is formulated that takes the weighted sum of energy consumption and delay experienced by tasks as the objective function. Processing frequencies and transmission powers of mobile devices and the fog node are the decision variables in the problem. To solve this problem, three decision-making algorithms are presented. The first one is used to decide the UAV's position. The processing frequency, transmission power, and task assignment results at mobile devices are determined by the second algorithm. The last one is adopted by the fog node to optimize its processing frequency and transmission power. A series of simulation experiments are conducted to evaluate the effectiveness of the proposed algorithms. Compared with the random task assignment scheme with fixed parameters, the combination of our three algorithms always perform much better for a wide range of parameter settings.",2327-4662,,10.1109/JIOT.2019.2906287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671693,Cloud-to-thing;fog computing;optimization;scheduling,Task analysis;Delays;Mobile handsets;Cloud computing;Energy consumption;Wireless communication;Resource management,autonomous aerial vehicles;decision making;mobile handsets;optimisation;remotely operated vehicles;resource allocation,computational facilities;cloud-to-thing continuum;mobile devices;fog node;remote data center;radio resource allocation problem;computational resources;queueing delay;computation entity;joint optimization problem;energy consumption;transmission powers;decision-making algorithms;processing frequency;transmission power;random task assignment scheme;unmanned aerial vehicles;UAVs;short-range wireless links;parameter settings;long-range wireless links,,29,,29,IEEE,20 Mar 2019,,,IEEE,IEEE Journals,,
DATS: Dispersive Stable Task Scheduling in Heterogeneous Fog Networks,"Embedded AI, delay requirements, heterogeneity, data heterogeneity, energy consumption requirements","6, 12, 8, 17, 7,",Z. Liu; X. Yang; Y. Yang; K. Wang; G. Mao,,IEEE Internet of Things Journal,8 May 2019,2019,6,2,3423,3436,"Fog computing has risen as a promising architecture for future Internet of Things, 5G and embedded artificial intelligence applications with stringent service delay requirements along the cloud to things continuum. For a typical fog network consisting of heterogeneous fog nodes (FNs) with different computing resources and communication capabilities, how to effectively schedule complex computation tasks to multiple FNs in the neighborhood to achieve minimal service delay is a fundamental challenge. To tackle this problem, a new concept named processing efficiency (PE) is first defined to incorporate computing resources and communication capacities. Further, to minimize service delay in heterogeneous fog networks, a scalable, stable, and decentralized algorithm, namely dispersive stable task scheduling (DATS), is proposed and evaluated, which consists of two key components: 1) a PE-based progressive computing resources competition and 2) a QoE-oriented synchronized task scheduling. Theoretical proofs and simulation results show that the proposed DATS algorithm can achieve effective tradeoff between computing resources and communication capabilities, thus significantly reducing service delay in heterogeneous fog networks.",2327-4662,,10.1109/JIOT.2018.2884720,"Science and Technology Commission of Shanghai Municipality(grant numbers:17ZR1429200,18511106500); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8556474,Computation offloading;fog computing;matching theory;task scheduling,Task analysis;Cloud computing;Delays;Computational modeling;Processor scheduling;Edge computing;Scheduling,artificial intelligence;cloud computing;Internet;resource allocation;telecommunication scheduling,heterogeneous fog networks;dispersive stable task scheduling;DATS;communication capabilities;fog computing;artificial intelligence applications;stringent service delay requirements;heterogeneous fog nodes;complex computation tasks;minimal service delay;communication capacities;computing resources,,34,,37,IEEE,2 Dec 2018,,,IEEE,IEEE Journals,,
In the Fog: Application Deployment for the Cloud Continuum,"Heterogeneity, energy constraints, latency constraints","8, 17, 12, ",D. Apostolou; Y. Verginadis; G. Mentzas,,"2021 12th International Conference on Information, Intelligence, Systems & Applications (IISA)",8 Oct 2021,2021,,,1,7,"Serverless and the Function-as-a-Service (FaaS) paradigms are seen as two enabling technologies for next-generation computing on the cloud continuum. This article discusses prominent frameworks to deploy and monitor applications that span the cloud continuum. It discusses associated challenges and proposes a novel architecture for a framework that manages intelligently multi-cloud, fog and edge resources in order to cope with the requirements of FaaS-enabled applications and services.",,978-1-6654-0032-9,10.1109/IISA52424.2021.9555532,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9555532,cloud continuum;fog computing;serverless,Cloud computing;Image edge detection;FAA;Telecommunication traffic;Tools;Throughput;Task analysis,cloud computing;resource allocation;service-oriented architecture,application deployment;cloud continuum;next-generation computing;fog;FaaS-enabled applications;function-as-a-service paradigms;application monitoring;multicloud resource management;fog resource management;edge resource management,,,,18,,8 Oct 2021,,,IEEE,IEEE Conferences,,
OTE: Optimal Trustworthy EdgeAI solutions for smart cities,"Edge AI, unpredictability, environmental requirements, autonomy, mobility, privacy","6, 18, 7, 1, 13, 15,",V. Mygdalis; L. Carnevale; J. R. Martínez-De-Dios; D. Shutin; G. Aiello; M. Villari; I. Pitas,,"2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",19 Jul 2022,2022,,,842,850,"This work studies and defines the problem of providing extensive and opportunistic Edge AI-based area coverage in smart city application scenarios, by researching and determining the optimal configuration of sensing and computational resources for minimizing the environmental/technology footprint of the solution. A typical smart city computing continuum consists of statically installed multimodal sensing Internet-of-Things (IoT) nodes at various city locations, accompanied by interconnected computational Cloud/Edge/IoT nodes. This paper presents Optimal Trustworthy EdgeAI (OTE), an entirely novel research pipeline, that complements existing smart city infrastructure with intelligent drone Edge/IoT nodes (in the form of modularly equipped unmanned aerial vehicles), capable of autonomous repositioning according to individual/collective sensing and coverage criteria. Thereby, we envisage the emerging cutting-edge technologies of trustworthy sensing, perceiving, modelling technologies for predicting the behavior of moving targets (e.g., citizens/vehicles/objects), understanding natural phenomena (e.g., sea wave motion, urban flora/fauna, biodiversity) in order to anticipate events (people's bad habits, environmental changes), by exploiting novel continuous data processing services across the whole span of the enhanced Cloud-Edge-IoT computing continuum.",,978-1-6654-9956-9,10.1109/CCGrid54584.2022.00100,"Horizon 2020(grant numbers:871479,101004605); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826103,EdgeAI;Trustworthy-AI;Smart city;Cloud-Edge-IoT intelligence;UAVs,Cloud computing;Privacy;Smart cities;Pipelines;Semantics;Robot sensing systems;Software,artificial intelligence;autonomous aerial vehicles;cloud computing;Internet of Things;mobile robots;sensor fusion;smart cities;telerobotics;trusted computing,autonomous repositioning;continuous data processing services;intelligent drone edge-IoT nodes;Cloud-Edge-IoT computing continuum;multimodal sensing Internet-of-Things;modularly equipped unmanned aerial vehicles;extensive Edge AI-based area coverage;smart cities;optimal trustworthy EdgeAI solutions;OTE,,,,45,IEEE,19 Jul 2022,,,IEEE,IEEE Conferences,,
